lead_id,campaign_id,client_id,created_date,status,lead_score,city,acquisition_channel
LED00031,CAM0202,CLT009,2022-06-05,contacted,76,Bogor,Instagram
LED00032,CAM0491,CLT031,2024-01-21,contacted,34,Surabaya,Website
LED00033,CAM0482,CLT016,2023-12-07,qualified,96,Palembang,TikTok
LED00034,CAM0075,CLT040,2022-08-27,lost,91,Surabaya,Instagram
LED00035,CAM0098,CLT008,2023-01-05,new,98,Bandung,Instagram
LED00036,CAM0478,CLT019,2024-12-16,qualified,55,Bekasi,TikTok
LED00037,CAM0071,CLT014,2023-09-16,new,100,Medan,Instagram
LED00038,CAM0088,CLT010,2022-11-25,qualified,35,Palembang,Google
LED00039,CAM0328,CLT037,2022-11-23,converted,48,Surabaya,Instagram
LED00040,CAM0064,CLT015,2022-03-22,converted,75,Palembang,
LED00041,CAM0460,CLT007,2022-04-12,contacted,24,Bogor,
LED00042,CAM0229,CLT005,2024-11-19,converted,35,Surabaya,
LED00043,CAM0392,CLT021,2022-06-03,contacted,8,Denpasar,Instagram
LED00044,CAM0323,CLT042,2022-12-03,new,28,Malang,Instagram
LED00045,CAM0051,CLT050,2022-01-31,contacted,44,Depok,Instagram
LED00046,CAM0009,CLT019,2023-09-19,contacted,24,Denpasar,Facebook
LED00047,CAM0478,CLT019,2024-12-16,contacted,49,Bekasi,Google
LED00048,CAM0126,CLT036,2022-09-26,qualified,36,Malang,
LED00049,CAM0247,CLT011,2023-04-24,contacted,70,Yogyakarta,Instagram
LED00050,CAM0333,CLT006,2024-05-01,lost,34,Jakarta,Google
LED00051,CAM0088,CLT010,2022-12-12,contacted,71,Semarang,Website
LED00052,CAM0066,CLT006,2024-03-09,lost,60,Bogor,Facebook
LED00053,CAM0088,CLT010,2022-12-04,qualified,12,Surabaya,
LED00054,CAM0336,CLT049,2023-03-17,qualified,7,Medan,Email
LED00055,CAM0437,CLT007,2023-03-09,qualified,56,Bogor,
LED00056,CAM0236,CLT002,2022-12-31,qualified,59,Palembang,Facebook
LED00057,CAM0094,CLT047,2024-02-21,converted,76,Makassar,Facebook
LED00058,CAM0155,CLT040,2023-10-13,lost,3,Makassar,Google
LED00059,CAM0415,CLT012,2022-09-02,qualified,39,Palembang,TikTok
LED00060,CAM0001,CLT029,2023-07-25,lost,97,Denpasar,Google
LED00061,CAM0482,CLT016,2023-12-02,contacted,2,Depok,
LED00062,CAM0411,CLT040,2023-04-18,converted,77,Jakarta,Facebook
LED00063,CAM0094,CLT047,2024-01-28,lost,48,Malang,
LED00064,CAM0471,CLT006,2024-02-08,contacted,34,Tangerang,Google
LED00065,CAM0336,CLT049,2023-03-12,converted,45,Yogyakarta,Facebook
LED00066,CAM0141,CLT004,2024-09-03,contacted,22,Yogyakarta,
LED00067,CAM0205,CLT012,2024-12-13,new,48,Balikpapan,
LED00068,CAM0381,CLT030,2022-05-12,contacted,15,Bekasi,Instagram
LED00069,CAM0417,CLT010,2022-04-29,contacted,88,Balikpapan,Email
LED00070,CAM0019,CLT030,2024-10-31,qualified,72,Medan,Website
LED00071,CAM0397,CLT046,2022-09-16,contacted,25,Balikpapan,Facebook
LED00072,CAM0090,CLT043,2022-08-17,contacted,76,Denpasar,Facebook
LED00073,CAM0075,CLT040,2022-06-30,qualified,73,Bogor,
LED00074,CAM0424,CLT050,2022-06-18,converted,35,Malang,Facebook
LED00075,CAM0158,CLT019,2022-06-16,contacted,57,Malang,Instagram
LED00076,CAM0198,CLT048,2024-06-22,converted,77,Bekasi,Website
LED00077,CAM0080,CLT042,2023-10-27,new,64,Denpasar,
LED00078,CAM0115,CLT019,2023-11-07,qualified,48,Medan,Website
LED00079,CAM0088,CLT010,2022-10-21,new,100,Palembang,Website
LED00080,CAM0156,CLT046,2024-11-08,new,44,Bekasi,TikTok
LED00081,CAM0456,CLT026,2022-02-14,converted,51,Makassar,
LED00082,CAM0050,CLT014,2023-05-29,contacted,48,Yogyakarta,
LED00083,CAM0413,CLT001,2024-07-21,new,61,Semarang,Google
LED00084,CAM0085,CLT042,2024-08-19,converted,50,Bandung,Google
LED00085,CAM0082,CLT003,2022-06-29,new,16,Makassar,TikTok
LED00086,CAM0464,CLT027,2022-02-13,new,76,Surabaya,
LED00087,CAM0384,CLT026,2023-08-14,contacted,8,Yogyakarta,Google
LED00088,CAM0094,CLT047,2024-01-23,new,43,Semarang,Facebook
LED00089,CAM0009,CLT019,2023-10-25,new,99,Surabaya,Email
LED00090,CAM0061,CLT009,2023-11-25,converted,31,Depok,
LED00091,CAM0481,CLT044,2024-04-27,qualified,76,Makassar,TikTok
LED00092,CAM0377,CLT008,2023-02-19,contacted,48,Bogor,Facebook
LED00093,CAM0424,CLT050,2022-05-31,new,12,Tangerang,
LED00094,CAM0323,CLT042,2022-12-30,lost,87,Semarang,Email
LED00095,CAM0404,CLT033,2023-06-27,new,1,Medan,Email
LED00096,CAM0437,CLT007,2023-03-07,qualified,64,Depok,TikTok
LED00097,CAM0214,CLT050,2023-08-08,contacted,76,Bekasi,Facebook
LED00098,CAM0329,CLT043,2023-02-26,qualified,80,Jakarta,
LED00099,CAM0094,CLT047,2024-02-07,qualified,38,Denpasar,Email
LED00100,CAM0163,CLT050,2023-04-28,qualified,46,Bogor,Website
LED00101,CAM0313,CLT002,2023-12-14,contacted,22,Malang,Website
LED00102,CAM0193,CLT003,2023-05-15,lost,52,Malang,Facebook
LED00103,CAM0098,CLT008,2022-11-26,lost,62,Surabaya,TikTok
LED00104,CAM0384,CLT026,2023-08-01,qualified,100,Depok,Facebook
LED00105,CAM0497,CLT048,2024-02-17,lost,51,Surabaya,Website
LED00106,CAM0329,CLT043,2023-02-18,contacted,45,Jakarta,
LED00107,CAM0430,CLT026,2024-09-03,qualified,94,Malang,
LED00108,CAM0386,CLT007,2024-12-05,qualified,39,Makassar,
LED00109,CAM0098,CLT008,2022-12-30,qualified,98,Medan,
LED00110,CAM0102,CLT006,2023-01-24,new,22,Malang,
LED00111,CAM0090,CLT043,2022-08-11,contacted,73,Bekasi,
LED00112,CAM0098,CLT008,2023-01-02,new,90,Depok,Website
LED00113,CAM0231,CLT042,2024-04-23,contacted,6,Surabaya,TikTok
LED00114,CAM0228,CLT044,2023-06-05,new,7,Bekasi,Google
LED00115,CAM0207,CLT020,2022-03-19,contacted,62,Palembang,
LED00116,CAM0166,CLT034,2024-11-03,new,10,Jakarta,Website
LED00117,CAM0421,CLT008,2023-05-13,converted,98,Yogyakarta,Google
LED00118,CAM0316,CLT041,2023-03-12,contacted,39,Palembang,
LED00119,CAM0259,CLT032,2023-12-04,new,49,Palembang,Facebook
LED00120,CAM0003,CLT008,2023-04-13,qualified,19,Makassar,Website
LED00121,CAM0284,CLT003,2022-11-06,contacted,15,Balikpapan,TikTok
LED00122,CAM0395,CLT039,2024-12-30,new,17,Denpasar,TikTok
LED00123,CAM0166,CLT034,2024-11-25,lost,2,Jakarta,Google
LED00124,CAM0336,CLT049,2023-03-30,contacted,35,Denpasar,Facebook
LED00125,CAM0059,CLT030,2022-08-11,qualified,87,Bandung,Facebook
LED00126,CAM0118,CLT002,2024-06-22,qualified,83,Balikpapan,
LED00127,CAM0450,CLT034,2024-12-26,contacted,39,Surabaya,TikTok
LED00128,CAM0116,CLT011,2024-07-07,qualified,15,Balikpapan,Google
LED00129,CAM0428,CLT035,2022-06-04,qualified,61,Depok,
LED00130,CAM0221,CLT010,2023-09-24,qualified,97,Jakarta,TikTok
LED00131,CAM0237,CLT036,2023-05-16,contacted,80,Jakarta,Facebook
LED00132,CAM0467,CLT049,2024-10-02,qualified,42,Palembang,TikTok
LED00133,CAM0201,CLT042,2022-03-14,qualified,12,Palembang,Instagram
LED00134,CAM0482,CLT016,2023-12-17,converted,23,Medan,Facebook
LED00135,CAM0403,CLT045,2022-08-24,new,72,Yogyakarta,Google
LED00136,CAM0247,CLT011,2023-04-16,contacted,99,Makassar,Instagram
LED00137,CAM0095,CLT015,2024-09-01,contacted,26,Tangerang,Google
LED00138,CAM0470,CLT011,2022-01-23,converted,98,Jakarta,Website
LED00139,CAM0094,CLT047,2024-02-08,contacted,96,Yogyakarta,Google
LED00140,CAM0213,CLT004,2022-07-28,lost,72,Bekasi,
LED00141,CAM0025,CLT032,2024-11-29,converted,67,Denpasar,Facebook
LED00142,CAM0419,CLT011,2024-04-28,contacted,2,Jakarta,
LED00143,CAM0353,CLT015,2023-08-30,contacted,81,Balikpapan,Google
LED00144,CAM0188,CLT027,2023-02-24,lost,12,Denpasar,Facebook
LED00145,CAM0415,CLT012,2022-09-19,contacted,78,Jakarta,Website
LED00146,CAM0478,CLT019,2024-11-19,converted,69,Bandung,TikTok
LED00147,CAM0155,CLT040,2023-09-18,new,82,Denpasar,Email
LED00148,CAM0421,CLT008,2023-05-14,contacted,67,Medan,Website
LED00149,CAM0163,CLT050,2023-05-18,qualified,94,Denpasar,
LED00150,CAM0055,CLT003,2023-11-18,lost,45,Balikpapan,Email
LED00151,CAM0231,CLT042,2024-04-14,qualified,87,Balikpapan,Facebook
LED00152,CAM0221,CLT010,2023-08-18,qualified,48,Depok,Instagram
LED00153,CAM0175,CLT037,2024-11-06,qualified,96,Bekasi,Website
LED00154,CAM0336,CLT049,2023-03-12,new,61,Balikpapan,
LED00155,CAM0403,CLT045,2022-08-22,converted,100,Tangerang,Instagram
LED00156,CAM0180,CLT050,2024-02-27,new,72,Denpasar,Email
LED00157,CAM0013,CLT043,2023-12-14,contacted,5,Semarang,TikTok
LED00158,CAM0021,CLT005,2023-12-27,lost,55,Bekasi,Google
LED00159,CAM0303,CLT028,2024-10-20,contacted,62,Depok,
LED00160,CAM0246,CLT036,2024-05-14,new,90,Malang,TikTok
LED00161,CAM0071,CLT014,2023-09-20,new,24,Denpasar,
LED00162,CAM0229,CLT005,2024-11-07,converted,79,Jakarta,Instagram
LED00163,CAM0437,CLT007,2023-03-05,qualified,56,Semarang,Website
LED00164,CAM0123,CLT008,2024-08-15,lost,6,Denpasar,Website
LED00165,CAM0269,CLT006,2022-10-06,converted,88,Palembang,Google
LED00166,CAM0095,CLT015,2024-09-19,converted,97,Makassar,Website
LED00167,CAM0225,CLT019,2023-05-13,lost,42,Palembang,Email
LED00168,CAM0013,CLT043,2023-12-15,converted,16,Bogor,
LED00169,CAM0253,CLT035,2022-12-14,contacted,55,Malang,Website
LED00170,CAM0404,CLT033,2023-07-11,new,88,Bogor,TikTok
LED00171,CAM0247,CLT011,2023-03-29,qualified,8,Malang,Facebook
LED00172,CAM0047,CLT045,2024-07-24,lost,87,Balikpapan,
LED00173,CAM0011,CLT038,2022-04-23,contacted,75,Surabaya,Website
LED00174,CAM0435,CLT004,2024-10-06,converted,73,Palembang,
LED00175,CAM0316,CLT041,2023-01-12,qualified,20,Denpasar,
LED00176,CAM0404,CLT033,2023-06-13,lost,60,Bandung,Facebook
LED00177,CAM0255,CLT045,2022-12-13,new,79,Medan,Google
LED00178,CAM0095,CLT015,2024-09-12,converted,27,Bogor,Instagram
LED00179,CAM0403,CLT045,2022-08-31,new,42,Medan,Facebook
LED00180,CAM0395,CLT039,2025-01-27,converted,37,Semarang,Instagram
LED00181,CAM0439,CLT015,2023-08-26,converted,4,Denpasar,TikTok
LED00182,CAM0354,CLT014,2024-04-15,new,57,Yogyakarta,Website
LED00183,CAM0001,CLT029,2023-07-19,contacted,21,Medan,Website
LED00184,CAM0129,CLT008,2023-01-05,lost,32,Malang,Email
LED00185,CAM0034,CLT020,2023-06-15,converted,10,Makassar,Email
LED00186,CAM0415,CLT012,2022-10-06,new,1,Denpasar,Website
LED00187,CAM0376,CLT018,2024-05-19,converted,87,Bandung,Facebook
LED00188,CAM0201,CLT042,2022-03-31,qualified,14,Denpasar,Instagram
LED00189,CAM0381,CLT030,2022-04-07,lost,85,Surabaya,Email
LED00190,CAM0483,CLT023,2023-08-07,new,58,Malang,Facebook
LED00191,CAM0028,CLT025,2022-03-18,qualified,77,Surabaya,
LED00192,CAM0229,CLT005,2024-11-27,contacted,7,Yogyakarta,
LED00193,CAM0016,CLT049,2022-05-18,converted,82,Balikpapan,Website
LED00194,CAM0495,CLT035,2023-09-11,qualified,20,Tangerang,
LED00195,CAM0094,CLT047,2024-02-24,qualified,99,Medan,Email
LED00196,CAM0478,CLT019,2024-12-06,qualified,85,Palembang,Instagram
LED00197,CAM0012,CLT012,2024-10-18,new,75,Semarang,Email
LED00198,CAM0333,CLT006,2024-05-20,converted,36,Bandung,Email
LED00199,CAM0050,CLT014,2023-04-23,qualified,76,Depok,
LED00200,CAM0069,CLT049,2024-06-22,converted,15,Surabaya,TikTok
LED00201,CAM0457,CLT031,2022-12-19,qualified,72,Jakarta,Instagram
LED00202,CAM0314,CLT004,2022-10-22,new,59,Jakarta,Instagram
LED00203,CAM0376,CLT018,2024-05-31,contacted,25,Depok,TikTok
LED00204,CAM0155,CLT040,2023-08-30,contacted,49,Depok,Website
LED00205,CAM0381,CLT030,2022-04-02,converted,88,Palembang,Website
LED00206,CAM0500,CLT019,2023-01-10,new,2,Bogor,
LED00207,CAM0428,CLT035,2022-06-16,converted,39,Surabaya,Facebook
LED00208,CAM0384,CLT026,2023-08-27,contacted,75,Bandung,Instagram
LED00209,CAM0086,CLT024,2024-05-01,qualified,24,Tangerang,Instagram
LED00210,CAM0156,CLT046,2024-11-03,qualified,8,Yogyakarta,Email
LED00211,CAM0361,CLT049,2022-07-26,converted,17,Balikpapan,Instagram
LED00212,CAM0430,CLT026,2024-09-15,contacted,98,Balikpapan,Facebook
LED00213,CAM0396,CLT024,2024-08-07,new,90,Malang,Facebook
LED00214,CAM0237,CLT036,2023-05-22,qualified,69,Palembang,Email
LED00215,CAM0246,CLT036,2024-06-03,lost,3,Yogyakarta,Email
LED00216,CAM0497,CLT048,2024-02-28,converted,70,Surabaya,Website
LED00217,CAM0071,CLT014,2023-09-07,lost,32,Tangerang,TikTok
LED00218,CAM0211,CLT010,2022-06-24,lost,26,Surabaya,Facebook
LED00219,CAM0129,CLT008,2022-12-31,new,78,Malang,TikTok
LED00220,CAM0365,CLT010,2023-01-21,qualified,17,Semarang,Instagram
LED00221,CAM0340,CLT007,2023-09-17,converted,23,Surabaya,Email
LED00222,CAM0428,CLT035,2022-05-16,contacted,68,Denpasar,
LED00223,CAM0104,CLT008,2022-02-24,qualified,2,Denpasar,Facebook
LED00224,CAM0231,CLT042,2024-04-23,new,75,Denpasar,Website
LED00225,CAM0100,CLT024,2024-02-19,contacted,77,Depok,Website
LED00226,CAM0470,CLT011,2022-01-15,converted,94,Tangerang,Website
LED00227,CAM0141,CLT004,2024-09-03,contacted,62,Palembang,Email
LED00228,CAM0225,CLT019,2023-06-16,qualified,58,Bekasi,TikTok
LED00229,CAM0104,CLT008,2022-03-22,lost,16,Yogyakarta,Google
LED00230,CAM0153,CLT031,2022-12-16,contacted,33,Balikpapan,
LED00231,CAM0357,CLT004,2024-05-29,contacted,26,Bekasi,
LED00232,CAM0314,CLT004,2022-11-10,contacted,11,Surabaya,Website
LED00233,CAM0073,CLT005,2022-05-18,new,9,Medan,
LED00234,CAM0175,CLT037,2024-11-04,converted,60,Balikpapan,Email
LED00235,CAM0225,CLT019,2023-05-21,converted,40,Bogor,Instagram
LED00236,CAM0381,CLT030,2022-05-03,contacted,94,Balikpapan,Google
LED00237,CAM0333,CLT006,2024-05-06,contacted,27,Tangerang,Instagram
LED00238,CAM0464,CLT027,2022-03-29,qualified,70,Makassar,Email
LED00239,CAM0075,CLT040,2022-07-04,converted,83,Semarang,TikTok
LED00240,CAM0478,CLT019,2024-12-29,qualified,86,Bogor,Email
LED00241,CAM0080,CLT042,2023-11-11,new,84,Surabaya,Email
LED00242,CAM0038,CLT020,2024-02-03,contacted,4,Bekasi,Facebook
LED00243,CAM0284,CLT003,2022-12-01,qualified,80,Medan,Instagram
LED00244,CAM0330,CLT006,2023-11-14,new,100,Tangerang,Website
LED00245,CAM0467,CLT049,2024-09-17,converted,52,Tangerang,Google
LED00246,CAM0075,CLT040,2022-06-30,new,32,Depok,Google
LED00247,CAM0001,CLT029,2023-07-29,converted,68,Denpasar,Instagram
LED00248,CAM0336,CLT049,2023-03-31,qualified,98,Depok,
LED00249,CAM0419,CLT011,2024-04-26,lost,40,Yogyakarta,Instagram
LED00250,CAM0456,CLT026,2022-02-27,qualified,21,Semarang,Email
LED00251,CAM0126,CLT036,2022-09-25,converted,85,Bekasi,
LED00252,CAM0188,CLT027,2023-02-14,new,64,Makassar,
LED00253,CAM0289,CLT047,2022-11-08,converted,64,Semarang,
LED00254,CAM0043,CLT044,2023-11-17,qualified,74,Malang,
LED00255,CAM0386,CLT007,2024-10-07,new,43,Palembang,
LED00256,CAM0365,CLT010,2023-01-28,converted,76,Yogyakarta,Instagram
LED00257,CAM0306,CLT009,2023-07-26,contacted,25,Medan,Instagram
LED00258,CAM0419,CLT011,2024-04-11,contacted,36,Palembang,Google
LED00259,CAM0248,CLT011,2024-11-16,converted,64,Denpasar,Google
LED00260,CAM0014,CLT049,2022-07-28,lost,17,Malang,TikTok
LED00261,CAM0126,CLT036,2022-10-03,new,89,Palembang,Instagram
LED00262,CAM0269,CLT006,2022-11-01,contacted,97,Bekasi,
LED00263,CAM0048,CLT035,2022-07-04,converted,89,Tangerang,
LED00264,CAM0485,CLT040,2022-08-31,qualified,89,Yogyakarta,
LED00265,CAM0384,CLT026,2023-08-01,qualified,35,Semarang,Instagram
LED00266,CAM0220,CLT016,2024-03-02,contacted,10,Tangerang,
LED00267,CAM0456,CLT026,2022-03-02,qualified,45,Tangerang,
LED00268,CAM0424,CLT050,2022-05-20,lost,42,Balikpapan,Instagram
LED00269,CAM0478,CLT019,2024-12-15,contacted,51,Depok,Website
LED00270,CAM0209,CLT007,2023-05-01,converted,7,Depok,TikTok
LED00271,CAM0286,CLT044,2023-06-02,new,2,Bekasi,
LED00272,CAM0139,CLT047,2022-11-24,lost,16,Tangerang,Google
LED00273,CAM0163,CLT050,2023-04-23,lost,70,Surabaya,Email
LED00274,CAM0100,CLT024,2024-02-12,qualified,27,Bekasi,
LED00275,CAM0214,CLT050,2023-09-02,lost,95,Bogor,
LED00276,CAM0025,CLT032,2024-11-24,qualified,71,Denpasar,Website
LED00277,CAM0395,CLT039,2024-12-12,converted,3,Depok,Email
LED00278,CAM0247,CLT011,2023-05-01,qualified,51,Semarang,
LED00279,CAM0088,CLT010,2022-11-24,converted,37,Bogor,TikTok
LED00280,CAM0245,CLT021,2022-06-04,converted,93,Yogyakarta,Facebook
LED00281,CAM0201,CLT042,2022-04-03,qualified,8,Balikpapan,
LED00282,CAM0107,CLT002,2022-05-29,contacted,65,Balikpapan,Instagram
LED00283,CAM0295,CLT013,2022-08-15,lost,63,Jakarta,TikTok
LED00284,CAM0295,CLT013,2022-09-11,new,87,Bogor,Instagram
LED00285,CAM0071,CLT014,2023-09-23,converted,93,Palembang,Website
LED00286,CAM0397,CLT046,2022-09-11,contacted,12,Yogyakarta,Instagram
LED00287,CAM0393,CLT016,2024-07-10,qualified,43,Tangerang,Instagram
LED00288,CAM0163,CLT050,2023-06-30,contacted,21,Malang,Google
LED00289,CAM0225,CLT019,2023-05-27,contacted,77,Depok,Instagram
LED00290,CAM0227,CLT002,2023-03-10,contacted,87,Surabaya,Email
LED00291,CAM0083,CLT038,2024-07-12,contacted,87,Jakarta,TikTok
LED00292,CAM0271,CLT019,2023-10-10,contacted,38,Makassar,Google
LED00293,CAM0415,CLT012,2022-10-16,new,87,Malang,Email
LED00294,CAM0081,CLT041,2022-06-23,converted,57,Malang,Instagram
LED00295,CAM0044,CLT045,2022-09-14,qualified,74,Semarang,Website
LED00296,CAM0417,CLT010,2022-04-30,converted,50,Denpasar,TikTok
LED00297,CAM0075,CLT040,2022-08-21,contacted,98,Bekasi,Email
LED00298,CAM0213,CLT004,2022-06-05,qualified,18,Bogor,Instagram
LED00299,CAM0220,CLT016,2024-02-23,lost,17,Semarang,Instagram
LED00300,CAM0284,CLT003,2022-12-09,qualified,50,Tangerang,
LED00301,CAM0225,CLT019,2023-05-15,contacted,51,Yogyakarta,Instagram
LED00302,CAM0025,CLT032,2024-12-14,qualified,48,Jakarta,Instagram
LED00303,CAM0075,CLT040,2022-09-05,converted,82,Denpasar,
LED00304,CAM0156,CLT046,2024-11-20,new,16,Jakarta,Website
LED00305,CAM0491,CLT031,2024-02-02,converted,16,Surabaya,
LED00306,CAM0043,CLT044,2023-11-18,converted,47,Surabaya,
LED00307,CAM0013,CLT043,2023-12-10,contacted,26,Malang,
LED00308,CAM0255,CLT045,2022-12-14,qualified,77,Semarang,Email
LED00309,CAM0129,CLT008,2022-12-11,converted,51,Jakarta,Facebook
LED00310,CAM0032,CLT044,2022-11-29,lost,18,Palembang,Instagram
LED00311,CAM0259,CLT032,2024-01-06,qualified,42,Medan,Email
LED00312,CAM0464,CLT027,2022-02-18,converted,6,Semarang,Facebook
LED00313,CAM0169,CLT012,2023-11-29,converted,43,Yogyakarta,Google
LED00314,CAM0305,CLT016,2024-05-04,new,72,Bandung,Email
LED00315,CAM0411,CLT040,2023-06-14,converted,45,Tangerang,Email
LED00316,CAM0120,CLT029,2022-11-14,contacted,52,Surabaya,TikTok
LED00317,CAM0495,CLT035,2023-09-17,converted,20,Bandung,Google
LED00318,CAM0289,CLT047,2022-11-14,qualified,90,Denpasar,
LED00319,CAM0214,CLT050,2023-07-15,contacted,14,Malang,TikTok
LED00320,CAM0236,CLT002,2022-12-11,contacted,58,Jakarta,Instagram
LED00321,CAM0172,CLT046,2023-09-25,converted,54,Balikpapan,
LED00322,CAM0227,CLT002,2023-03-08,new,9,Semarang,
LED00323,CAM0295,CLT013,2022-09-04,new,26,Depok,
LED00324,CAM0003,CLT008,2023-04-16,qualified,82,Bandung,Email
LED00325,CAM0237,CLT036,2023-06-22,new,45,Tangerang,Instagram
LED00326,CAM0246,CLT036,2024-06-29,new,33,Medan,Facebook
LED00327,CAM0050,CLT014,2023-03-27,contacted,57,Bekasi,Google
LED00328,CAM0155,CLT040,2023-08-02,lost,94,Bogor,Google
LED00329,CAM0209,CLT007,2023-04-29,new,89,Balikpapan,Google
LED00330,CAM0266,CLT031,2022-07-20,new,16,Bekasi,TikTok
LED00331,CAM0421,CLT008,2023-05-13,lost,82,Bekasi,Website
LED00332,CAM0315,CLT046,2022-08-20,qualified,92,Denpasar,Google
LED00333,CAM0340,CLT007,2023-09-05,qualified,71,Yogyakarta,Instagram
LED00334,CAM0112,CLT019,2022-06-03,contacted,34,Depok,TikTok
LED00335,CAM0389,CLT047,2025-02-08,qualified,48,Depok,Instagram
LED00336,CAM0266,CLT031,2022-07-03,lost,32,Bogor,
LED00337,CAM0397,CLT046,2022-09-06,qualified,70,Medan,Instagram
LED00338,CAM0139,CLT047,2022-11-23,converted,24,Surabaya,
LED00339,CAM0014,CLT049,2022-08-07,qualified,28,Yogyakarta,Facebook
LED00340,CAM0483,CLT023,2023-07-15,converted,62,Yogyakarta,Email
LED00341,CAM0448,CLT031,2022-05-05,new,38,Medan,TikTok
LED00342,CAM0025,CLT032,2024-11-17,converted,31,Malang,Google
LED00343,CAM0090,CLT043,2022-08-30,qualified,84,Surabaya,Website
LED00344,CAM0154,CLT034,2024-08-20,qualified,80,Balikpapan,Facebook
LED00345,CAM0408,CLT044,2023-08-29,contacted,84,Surabaya,Google
LED00346,CAM0028,CLT025,2022-03-19,contacted,74,Bandung,Instagram
LED00347,CAM0143,CLT013,2022-05-31,new,30,Malang,Facebook
LED00348,CAM0457,CLT031,2022-11-11,qualified,28,Medan,Facebook
LED00349,CAM0289,CLT047,2022-11-15,new,20,Balikpapan,Website
LED00350,CAM0357,CLT004,2024-04-07,converted,11,Semarang,Google
LED00351,CAM0481,CLT044,2024-05-11,converted,8,Balikpapan,TikTok
LED00352,CAM0247,CLT011,2023-04-17,qualified,80,Bandung,Website
LED00353,CAM0116,CLT011,2024-07-21,contacted,1,Bogor,
LED00354,CAM0478,CLT019,2024-12-12,contacted,87,Surabaya,Facebook
LED00355,CAM0104,CLT008,2022-03-30,converted,17,Makassar,Facebook
LED00356,CAM0252,CLT041,2022-11-11,qualified,54,Balikpapan,Instagram
LED00357,CAM0415,CLT012,2022-10-04,converted,52,Balikpapan,TikTok
LED00358,CAM0175,CLT037,2024-12-01,new,1,Yogyakarta,TikTok
LED00359,CAM0329,CLT043,2023-02-24,new,43,Bekasi,Instagram
LED00360,CAM0188,CLT027,2023-01-15,converted,18,Depok,Google
LED00361,CAM0169,CLT012,2023-10-30,lost,61,Malang,Email
LED00362,CAM0408,CLT044,2023-09-16,lost,64,Medan,
LED00363,CAM0012,CLT012,2024-10-25,converted,98,Semarang,TikTok
LED00364,CAM0295,CLT013,2022-08-22,qualified,48,Bekasi,Facebook
LED00365,CAM0001,CLT029,2023-07-27,contacted,6,Yogyakarta,
LED00366,CAM0407,CLT033,2022-09-19,contacted,46,Depok,Email
LED00367,CAM0482,CLT016,2023-12-14,contacted,10,Medan,Email
LED00368,CAM0336,CLT049,2023-04-07,contacted,83,Bekasi,TikTok
LED00369,CAM0119,CLT024,2022-03-14,qualified,90,Malang,Website
LED00370,CAM0336,CLT049,2023-04-10,lost,91,Medan,Website
LED00371,CAM0481,CLT044,2024-06-01,new,65,Denpasar,Email
LED00372,CAM0019,CLT030,2024-11-23,lost,41,Jakarta,Google
LED00373,CAM0495,CLT035,2023-09-25,converted,27,Surabaya,Email
LED00374,CAM0470,CLT011,2022-01-24,lost,28,Surabaya,Google
