spend_id,campaign_id,spend_date,impressions,clicks,conversions,spend_idr,cpm,cpc,ctr
SPD00056,CAM0013,2024-01-02,97359,2683,133,3318209,34082,1237,0.0276
SPD00057,CAM0013,2023-12-29,171000,2695,92,4924000,28795,1827,0.0158
SPD00058,CAM0013,2023-12-04,103320,2494,50,3995035,38667,1602,0.0241
SPD00059,CAM0013,2024-01-03,109094,546,,2586409,23708,4737,0.0050
SPD00060,CAM0014,2022-08-07,9273,166,3,2719383,293258,16382,0.0179
SPD00061,CAM0014,2022-07-14,61314,1618,,2514896,41017,1554,0.0264
SPD00062,CAM0014,2022-08-04,139026,2628,42,516555,3716,197,0.0189
SPD00063,CAM0014,2022-07-29,98233,874,39,2295951,23373,2627,0.0089
SPD00064,CAM0014,2022-07-14,72172,1824,,3553750,49240,1948,0.0253
SPD00065,CAM0014,2022-08-05,61999,1448,60,1650411,26620,1140,0.0234
SPD00066,CAM0015,2024-10-05,185773,4193,57,2719881,14641,649,0.0226
SPD00067,CAM0015,2024-08-08,196572,4955,204,3005063,15287,606,0.0252
SPD00068,CAM0015,2024-09-17,118850,1831,82,2101845,17685,1148,0.0154
SPD00069,CAM0015,2024-08-05,171169,4182,92,545461,3187,130,0.0244
SPD00070,CAM0015,2024-09-13,146539,2802,106,1485113,10135,530,0.0191
SPD00071,CAM0015,2024-08-10,181589,4229,117,4433976,24418,1048,0.0233
SPD00072,CAM0015,2024-08-15,63218,998,15,3019983,47771,3026,0.0158
SPD00073,CAM0016,2022-04-21,129742,2502,,3548659,27352,1418,0.0193
SPD00074,CAM0016,2022-05-02,27302,408,15,1331377,48765,3263,0.0149
SPD00075,CAM0016,2022-05-16,151616,1508,49,4907415,32367,3254,0.0099
SPD00076,CAM0016,2022-05-25,197850,3582,73,3807652,19245,1063,0.0181
SPD00077,CAM0017,2022-09-16,184499,5185,,3669377,19888,708,0.0281
SPD00078,CAM0017,2022-09-19,100752,1381,46,403061,4001,292,0.0137
SPD00079,CAM0018,2024-05-09,84906,783,33,3909527,46045,4993,0.0092
SPD00080,CAM0018,2024-05-04,43225,692,13,3335836,77174,4821,0.0160
SPD00081,CAM0018,2024-04-19,195968,5157,62,1438805,7342,279,0.0263
SPD00082,CAM0019,2024-11-04,8600,116,2,4152630,482864,35799,0.0135
SPD00083,CAM0019,2024-10-18,91999,940,17,4589472,49886,4882,0.0102
SPD00084,CAM0019,2024-12-04,72805,1362,67,354254,4866,260,0.0187
SPD00085,CAM0019,2024-11-10,157831,4364,88,704239,4462,161,0.0276
SPD00086,CAM0019,2024-11-04,57611,1424,17,269912,4685,190,0.0247
SPD00087,CAM0019,2024-10-21,106880,2298,106,3221737,30143,1402,0.0215
SPD00088,CAM0020,2022-11-06,10001,123,3,3393553,339321,27590,0.0123
SPD00089,CAM0020,2022-11-05,87694,1501,20,1868286,21305,1245,0.0171
SPD00090,CAM0020,2022-12-21,151980,4279,,2275275,14971,532,0.0282
SPD00091,CAM0020,2022-12-02,92443,1594,17,3152060,34097,1977,0.0172
SPD00092,CAM0020,2022-12-08,168900,2121,104,2514234,14886,1185,0.0126
SPD00093,CAM0020,2022-10-31,169047,1934,96,447177,2645,231,0.0114
SPD00094,CAM0020,2022-11-28,64135,563,20,936477,14602,1663,0.0088
SPD00095,CAM0021,2024-01-15,141503,4105,143,2107804,14896,513,0.0290
SPD00096,CAM0021,2024-01-20,68009,1314,29,2962240,43557,2254,0.0193
SPD00097,CAM0021,2024-01-24,147143,1220,40,1897101,12893,1555,0.0083
SPD00098,CAM0021,2023-12-15,86002,1910,88,3807640,44274,1994,0.0222
SPD00099,CAM0021,2023-12-16,177027,5014,113,4875309,27540,972,0.0283
SPD00100,CAM0021,2024-02-04,193597,1540,69,447324,2311,290,0.0080
SPD00101,CAM0021,2024-01-07,113538,3295,131,2496768,21991,758,0.0290
SPD00102,CAM0021,2023-12-17,54265,416,16,2438605,44939,5862,0.0077
SPD00103,CAM0021,2024-02-13,153646,3120,60,418812,2726,134,0.0203
SPD00104,CAM0022,2022-12-16,25834,573,17,4132273,159955,7212,0.0222
SPD00105,CAM0022,2022-12-18,53228,1400,21,1821180,34215,1301,0.0263
SPD00106,CAM0022,2022-11-29,13448,204,9,3664864,272521,17965,0.0152
SPD00107,CAM0022,2022-11-29,199606,4348,79,1685439,8444,388,0.0218
SPD00108,CAM0022,2022-12-27,166758,2876,81,2270172,13614,789,0.0172
SPD00109,CAM0022,2022-12-25,111133,2712,116,2824774,25418,1042,0.0244
SPD00110,CAM0022,2022-12-21,165302,4707,148,523061,3164,111,0.0285
SPD00111,CAM0022,2023-01-06,33656,548,6,2261262,67187,4126,0.0163
SPD00112,CAM0023,2023-11-24,145999,2173,70,4529584,31025,2084,0.0149
SPD00113,CAM0023,2023-10-25,54768,672,14,2598425,47444,3867,0.0123
SPD00114,CAM0023,2023-11-20,48643,756,9,4536655,93264,6001,0.0155
SPD00115,CAM0023,2023-10-31,126524,3257,126,1149352,9084,353,0.0257
SPD00116,CAM0024,2024-09-06,158471,4507,69,3669186,23154,814,0.0284
SPD00117,CAM0024,2024-09-15,123197,692,31,1893928,15373,2737,0.0056
SPD00118,CAM0024,2024-10-21,124192,900,32,1575681,12687,1751,0.0072
SPD00119,CAM0024,2024-10-10,197220,1595,44,3244589,16452,2034,0.0081
SPD00120,CAM0024,2024-08-31,142315,3227,158,1541335,10830,478,0.0227
SPD00121,CAM0024,2024-09-19,149269,2166,100,4943687,33119,2282,0.0145
SPD00122,CAM0024,2024-10-20,177891,4725,74,630423,3544,133,0.0266
SPD00123,CAM0025,2024-12-17,85756,1092,30,1715788,20008,1571,0.0127
SPD00124,CAM0025,2024-11-09,39490,1145,,2323248,58831,2029,0.0290
SPD00125,CAM0025,2024-10-26,125230,2184,92,4339499,34652,1987,0.0174
SPD00126,CAM0025,2024-11-24,61852,1219,32,866096,14003,710,0.0197
SPD00127,CAM0025,2025-01-09,162313,838,17,4877057,30047,5820,0.0052
SPD00128,CAM0025,2024-11-20,17823,171,,3127790,175492,18291,0.0096
SPD00129,CAM0025,2024-10-29,43109,1135,49,2703509,62713,2382,0.0263
SPD00130,CAM0025,2024-12-06,27990,174,2,2585556,92374,14860,0.0062
SPD00131,CAM0025,2025-01-11,178257,3972,164,1688300,9471,425,0.0223
SPD00132,CAM0025,2024-12-22,156772,2195,,2710664,17290,1235,0.0140
SPD00133,CAM0026,2022-02-21,101618,2788,112,4817686,47410,1728,0.0274
SPD00134,CAM0026,2022-02-05,81764,1371,60,2961601,36221,2160,0.0168
SPD00135,CAM0026,2022-02-27,142532,1460,17,4992974,35031,3420,0.0102
SPD00136,CAM0026,2022-02-06,131789,3044,126,2609101,19798,857,0.0231
SPD00137,CAM0027,2024-01-18,164604,4311,142,3168336,19248,735,0.0262
SPD00138,CAM0027,2023-12-11,166032,3165,111,4331426,26088,1369,0.0191
SPD00139,CAM0027,2023-12-18,164752,1782,31,1191593,7233,669,0.0108
SPD00140,CAM0027,2023-11-28,126866,2618,114,3678186,28993,1405,0.0206
SPD00141,CAM0027,2024-01-16,16925,225,7,294768,17416,1310,0.0133
SPD00142,CAM0027,2023-12-20,185883,2238,49,4450420,23942,1989,0.0120
SPD00143,CAM0027,2024-01-05,6607,51,1,4972459,752605,97499,0.0077
SPD00144,CAM0028,2022-04-03,12632,325,14,4219051,333997,12982,0.0257
SPD00145,CAM0028,2022-03-30,14321,302,10,4704410,328497,15578,0.0211
SPD00146,CAM0029,2022-07-31,126233,3105,123,4571079,36211,1472,0.0246
SPD00147,CAM0029,2022-07-30,153096,3540,111,1947032,12718,550,0.0231
SPD00148,CAM0029,2022-08-08,184697,2455,102,755435,4090,308,0.0133
SPD00149,CAM0030,2023-09-02,78520,2042,51,4681808,59626,2293,0.0260
SPD00150,CAM0030,2023-10-16,48507,934,31,2786051,57436,2983,0.0193
SPD00151,CAM0030,2023-10-08,87444,1989,26,2193487,25084,1103,0.0227
SPD00152,CAM0030,2023-09-16,123464,3177,98,1668113,13511,525,0.0257
SPD00153,CAM0030,2023-08-31,103098,2538,118,3922646,38048,1546,0.0246
SPD00154,CAM0030,2023-09-25,11536,288,4,3053098,264658,10601,0.0250
SPD00155,CAM0030,2023-10-22,131739,3070,125,1402045,10643,457,0.0233
SPD00156,CAM0031,2022-12-21,140304,3075,119,4053461,28891,1318,0.0219
SPD00157,CAM0031,2023-01-08,192086,5113,114,569350,2964,111,0.0266
SPD00158,CAM0031,2022-12-20,92369,1539,,4566922,49442,2967,0.0167
SPD00159,CAM0031,2023-01-03,10893,211,9,2891739,265468,13705,0.0194
SPD00160,CAM0032,2022-11-02,55474,674,27,1186926,21396,1761,0.0121
SPD00161,CAM0032,2022-11-07,44143,394,19,4894481,110878,12423,0.0089
SPD00162,CAM0032,2022-11-22,31837,323,7,1387464,43580,4296,0.0101
SPD00163,CAM0032,2022-11-08,155492,1729,,3041547,19561,1759,0.0111
SPD00164,CAM0032,2022-11-24,121299,760,,623255,5138,820,0.0063
SPD00165,CAM0033,2023-08-26,105558,669,11,3939945,37325,5889,0.0063
SPD00166,CAM0033,2023-10-30,98224,1258,48,4675195,47597,3716,0.0128
SPD00167,CAM0033,2023-08-23,127079,2439,,4128183,32485,1693,0.0192
SPD00168,CAM0033,2023-08-25,124428,1587,64,4147224,33330,2613,0.0128
SPD00169,CAM0033,2023-09-11,63666,547,11,3248834,51029,5939,0.0086
SPD00170,CAM0033,2023-10-02,53064,1193,49,2924293,55109,2451,0.0225
SPD00171,CAM0033,2023-10-10,132796,764,18,4069175,30642,5326,0.0058
SPD00172,CAM0033,2023-09-03,78992,1911,28,1063457,13463,556,0.0242
SPD00173,CAM0033,2023-10-03,192242,4790,172,2734350,14223,571,0.0249
SPD00174,CAM0034,2023-08-04,125841,1890,65,4796529,38116,2538,0.0150
SPD00175,CAM0034,2023-06-17,131451,1918,81,3816735,29035,1990,0.0146
SPD00176,CAM0034,2023-07-22,153691,3793,73,853425,5553,225,0.0247
SPD00177,CAM0034,2023-07-29,34969,692,22,3934744,112521,5686,0.0198
SPD00178,CAM0034,2023-06-19,85749,2477,,1112216,12971,449,0.0289
SPD00179,CAM0034,2023-07-15,90828,1576,21,1365318,15032,866,0.0174
SPD00180,CAM0034,2023-05-28,43463,935,20,3951048,90906,4226,0.0215
SPD00181,CAM0034,2023-06-22,58912,1298,42,2754751,46760,2122,0.0220
SPD00182,CAM0035,2024-03-01,193164,5710,77,268109,1388,47,0.0296
SPD00183,CAM0035,2024-03-24,138804,2096,45,3297266,23755,1573,0.0151
SPD00184,CAM0035,2024-03-16,18927,95,4,1120216,59186,11792,0.0050
SPD00185,CAM0035,2024-02-11,13174,143,3,2868645,217750,20060,0.0109
SPD00186,CAM0035,2024-02-23,111439,1620,59,4183510,37541,2582,0.0145
SPD00187,CAM0035,2024-01-23,54342,1026,25,3700025,68088,3606,0.0189
SPD00188,CAM0035,2024-01-25,80620,2413,37,801849,9946,332,0.0299
SPD00189,CAM0035,2024-03-28,9117,78,2,1338969,146865,17166,0.0086
SPD00190,CAM0035,2024-01-16,40971,862,24,3771065,92042,4375,0.0210
SPD00191,CAM0035,2024-03-25,52132,852,36,3427220,65741,4023,0.0163
SPD00192,CAM0036,2022-05-26,64176,618,20,2186002,34063,3537,0.0096
SPD00193,CAM0036,2022-06-14,75582,1154,28,517634,6849,449,0.0153
SPD00194,CAM0036,2022-06-22,131685,2978,87,871618,6619,293,0.0226
SPD00195,CAM0036,2022-04-29,196413,4572,225,2543947,12952,556,0.0233
SPD00196,CAM0036,2022-06-09,140515,977,13,4163211,29628,4261,0.0070
SPD00197,CAM0036,2022-04-20,184325,3841,86,642702,3487,167,0.0208
SPD00198,CAM0036,2022-05-24,145255,3553,108,4136206,28475,1164,0.0245
SPD00199,CAM0036,2022-06-23,197365,2622,128,2671434,13536,1019,0.0133
SPD00200,CAM0036,2022-05-18,48911,287,11,4928710,100769,17173,0.0059
SPD00201,CAM0037,2023-06-14,21100,437,14,2647403,125469,6058,0.0207
SPD00202,CAM0037,2023-05-30,80187,1372,17,2530764,31561,1845,0.0171
SPD00203,CAM0037,2023-06-14,39744,810,16,1135744,28576,1402,0.0204
SPD00204,CAM0038,2024-02-06,50773,1409,51,3301828,65031,2343,0.0278
SPD00205,CAM0038,2024-02-12,50979,587,17,4624058,90705,7877,0.0115
SPD00206,CAM0038,2024-02-14,13674,185,,1416937,103623,7659,0.0135
SPD00207,CAM0039,2024-04-05,45409,1177,31,3414237,75189,2901,0.0259
SPD00208,CAM0039,2024-02-19,178189,2851,52,3094704,17368,1085,0.0160
SPD00209,CAM0039,2024-01-26,173364,2012,24,4092439,23606,2034,0.0116
SPD00210,CAM0039,2024-03-11,129841,1627,65,4667108,35945,2869,0.0125
SPD00211,CAM0039,2024-02-18,104562,2309,47,4649671,44468,2014,0.0221
SPD00212,CAM0039,2024-03-15,8109,99,2,2848188,351238,28770,0.0122
SPD00213,CAM0039,2024-03-27,184011,5317,,4656811,25307,876,0.0289
SPD00214,CAM0039,2024-04-10,97753,2825,131,2486655,25438,880,0.0289
SPD00215,CAM0039,2024-03-02,75864,885,,3481235,45888,3934,0.0117
SPD00216,CAM0040,2023-09-26,182023,4318,144,1835155,10082,425,0.0237
SPD00217,CAM0040,2023-09-30,93449,2050,46,288734,3090,141,0.0219
SPD00218,CAM0040,2023-10-10,7221,186,,1019556,141193,5481,0.0258
SPD00219,CAM0040,2023-09-30,32238,713,27,2313057,71749,3244,0.0221
SPD00220,CAM0040,2023-09-09,13923,77,,2018857,145002,26219,0.0055
SPD00221,CAM0040,2023-10-05,172269,1385,18,1289741,7487,931,0.0080
SPD00222,CAM0041,2024-02-01,177069,4266,179,1749951,9883,410,0.0241
SPD00223,CAM0041,2024-01-23,187361,1799,65,835136,4457,464,0.0096
SPD00224,CAM0041,2024-02-09,123867,3476,94,2912910,23516,838,0.0281
SPD00225,CAM0042,2023-07-23,47458,1163,14,3459732,72901,2975,0.0245
SPD00226,CAM0042,2023-08-02,20744,237,4,782156,37705,3300,0.0114
SPD00227,CAM0042,2023-08-22,57604,1166,34,1406890,24423,1207,0.0202
SPD00228,CAM0042,2023-08-29,118050,1234,57,2372618,20098,1923,0.0105
SPD00229,CAM0042,2023-07-04,14138,96,1,3940329,278705,41045,0.0068
SPD00230,CAM0042,2023-06-23,135469,1181,55,3475615,25656,2943,0.0087
SPD00231,CAM0042,2023-07-25,44742,1006,33,4523345,101098,4496,0.0225
SPD00232,CAM0042,2023-08-22,130341,2072,85,788038,6046,380,0.0159
SPD00233,CAM0042,2023-08-29,64204,326,13,4243865,66100,13018,0.0051
SPD00234,CAM0042,2023-07-06,153699,2825,65,2740306,17829,970,0.0184
SPD00235,CAM0043,2023-11-28,19468,405,5,4684770,240640,11567,0.0208
SPD00236,CAM0043,2023-11-24,26091,679,14,1903898,72971,2804,0.0260
SPD00237,CAM0043,2023-11-14,150352,899,15,3472435,23095,3863,0.0060
SPD00238,CAM0043,2023-11-09,170312,3784,171,3874073,22747,1024,0.0222
SPD00239,CAM0043,2023-11-15,41685,245,,2200558,52790,8982,0.0059
SPD00240,CAM0044,2022-09-27,106913,702,15,4679013,43765,6665,0.0066
SPD00241,CAM0044,2022-09-24,9303,55,,559154,60105,10166,0.0059
SPD00242,CAM0044,2022-09-21,35982,370,11,4701003,130649,12705,0.0103
SPD00243,CAM0045,2022-10-24,199262,3882,44,1387746,6964,357,0.0195
SPD00244,CAM0045,2022-12-06,176398,966,33,2235768,12675,2314,0.0055
SPD00245,CAM0045,2022-10-21,8765,81,,2778132,316957,34298,0.0092
SPD00246,CAM0045,2022-10-17,124586,2526,31,1091970,8765,432,0.0203
SPD00247,CAM0045,2022-10-19,135323,2689,33,1899877,14040,707,0.0199
SPD00248,CAM0045,2022-11-28,93432,2362,87,2919879,31251,1236,0.0253
SPD00249,CAM0045,2022-10-20,184329,3575,155,1988718,10789,556,0.0194
SPD00250,CAM0046,2024-05-23,16950,336,4,1384780,81698,4121,0.0198
SPD00251,CAM0046,2024-05-23,113830,1047,17,2243839,19712,2143,0.0092
SPD00252,CAM0046,2024-05-17,15668,130,4,3355215,214144,25809,0.0083
SPD00253,CAM0047,2024-07-09,9097,245,,260599,28647,1064,0.0269
SPD00254,CAM0047,2024-07-10,28367,643,13,4193082,147815,6521,0.0227
SPD00255,CAM0047,2024-08-12,38264,388,11,3656369,95556,9424,0.0101
SPD00256,CAM0047,2024-07-14,50756,1028,,1709953,33690,1663,0.0203
SPD00257,CAM0047,2024-07-30,165445,4757,196,3118007,18846,655,0.0288
SPD00258,CAM0048,2022-06-27,6198,117,5,1002654,161771,8570,0.0189
SPD00259,CAM0048,2022-06-20,146485,2591,90,1945742,13283,751,0.0177
SPD00260,CAM0048,2022-06-09,18911,186,6,4179663,221018,22471,0.0098
SPD00261,CAM0048,2022-07-07,51222,460,5,3255072,63548,7076,0.0090
SPD00262,CAM0048,2022-06-10,59942,951,40,4001277,66752,4207,0.0159
SPD00263,CAM0048,2022-05-10,32373,761,12,443816,13709,583,0.0235
SPD00264,CAM0048,2022-07-06,139978,1106,42,2934453,20964,2653,0.0079
SPD00265,CAM0049,2022-02-26,57101,1351,25,1123861,19682,832,0.0237
SPD00266,CAM0049,2022-02-23,64711,482,21,3350193,51772,6951,0.0074
SPD00267,CAM0050,2023-03-29,24275,407,18,1415855,58326,3479,0.0168
SPD00268,CAM0050,2023-03-28,164759,2697,41,1828689,11099,678,0.0164
SPD00269,CAM0050,2023-05-20,99002,2909,43,4970314,50204,1709,0.0294
SPD00270,CAM0050,2023-03-08,78558,660,18,1636140,20827,2479,0.0084
SPD00271,CAM0050,2023-04-13,62633,1701,70,1625522,25953,956,0.0272
SPD00272,CAM0050,2023-05-13,149901,3953,,4576913,30533,1158,0.0264
SPD00273,CAM0050,2023-05-02,61739,1221,25,3791250,61408,3105,0.0198
SPD00274,CAM0050,2023-04-01,69967,922,42,1449648,20719,1572,0.0132
SPD00275,CAM0050,2023-05-13,6331,97,,4148120,655208,42764,0.0153
SPD00276,CAM0050,2023-05-04,13813,216,9,1022076,73994,4732,0.0156
SPD00277,CAM0051,2022-02-03,134836,1484,15,3610959,26780,2433,0.0110
SPD00278,CAM0051,2022-01-19,39789,555,27,333631,8385,601,0.0139
SPD00279,CAM0051,2022-02-05,180383,2276,100,404795,2244,178,0.0126
SPD00280,CAM0051,2022-02-04,126572,3075,80,3307312,26130,1076,0.0243
SPD00281,CAM0051,2022-02-15,126712,2863,,793062,6259,277,0.0226
SPD00282,CAM0052,2022-10-09,186076,2479,,3772727,20275,1522,0.0133
SPD00283,CAM0052,2022-10-05,187990,5386,225,879133,4676,163,0.0287
SPD00284,CAM0053,2022-05-07,93000,2175,,3253373,34983,1496,0.0234
SPD00285,CAM0053,2022-05-16,18516,143,4,3266633,176422,22844,0.0077
SPD00286,CAM0053,2022-04-29,50945,1080,35,1917253,37634,1775,0.0212
SPD00287,CAM0054,2024-12-04,92799,1017,29,1959879,21120,1927,0.0110
SPD00288,CAM0054,2024-12-15,89007,1229,45,2524863,28367,2054,0.0138
SPD00289,CAM0054,2024-11-23,21611,309,9,1229361,56886,3979,0.0143
SPD00290,CAM0054,2025-01-16,191076,3496,160,3991469,20889,1142,0.0183
SPD00291,CAM0054,2025-02-04,101507,2537,107,750524,7394,296,0.0250
SPD00292,CAM0054,2024-12-11,125028,898,15,845480,6762,942,0.0072
SPD00293,CAM0054,2024-11-30,48192,573,17,1913424,39704,3339,0.0119
SPD00294,CAM0054,2025-01-22,169436,943,35,1307525,7717,1387,0.0056
SPD00295,CAM0054,2025-01-16,95885,1486,16,1785955,18626,1202,0.0155
SPD00296,CAM0054,2024-11-25,10776,288,13,3017543,280024,10478,0.0267
SPD00297,CAM0055,2023-11-01,156703,2126,49,4647356,29657,2186,0.0136
SPD00298,CAM0055,2023-11-19,121721,2002,91,2771066,22766,1384,0.0164
SPD00299,CAM0055,2023-10-01,73159,780,16,596940,8159,765,0.0107
SPD00300,CAM0055,2023-09-28,97568,1181,41,1548803,15874,1311,0.0121
SPD00301,CAM0055,2023-11-17,79775,762,29,1487523,18646,1952,0.0096
SPD00302,CAM0055,2023-09-30,67365,533,17,3898441,57870,7314,0.0079
SPD00303,CAM0055,2023-10-13,101907,979,11,2858716,28052,2920,0.0096
SPD00304,CAM0055,2023-10-24,43782,627,10,2729666,62347,4354,0.0143
SPD00305,CAM0056,2024-10-16,11533,174,2,4042324,350501,23232,0.0151
SPD00306,CAM0056,2024-11-10,45908,234,11,2978983,64890,12731,0.0051
SPD00307,CAM0056,2024-11-07,129232,3540,142,1433825,11095,405,0.0274
SPD00308,CAM0056,2024-11-26,93784,2084,95,1369567,14603,657,0.0222
SPD00309,CAM0056,2024-12-10,35638,452,19,3941090,110587,8719,0.0127
SPD00310,CAM0056,2024-11-15,29243,384,6,4616047,157851,12021,0.0131
SPD00311,CAM0056,2024-10-29,77856,770,,3936773,50565,5113,0.0099
SPD00312,CAM0056,2024-10-12,139162,2068,70,4491241,32273,2172,0.0149
SPD00313,CAM0057,2023-12-27,19692,545,8,3787308,192327,6949,0.0277
SPD00314,CAM0057,2023-11-20,106217,1521,36,3937762,37073,2589,0.0143
SPD00315,CAM0057,2023-12-22,152071,1093,30,3686387,24241,3373,0.0072
SPD00316,CAM0057,2023-12-18,120999,1478,72,3755362,31036,2541,0.0122
SPD00317,CAM0057,2023-12-13,113578,964,12,1943016,17107,2016,0.0085
SPD00318,CAM0057,2023-11-16,129416,3844,90,3352207,25903,872,0.0297
SPD00319,CAM0057,2023-11-02,6735,102,2,4862504,721975,47672,0.0151
SPD00320,CAM0058,2023-05-15,191186,3670,65,3402514,17797,927,0.0192
SPD00321,CAM0058,2023-04-23,150192,2593,57,2749418,18306,1060,0.0173
SPD00322,CAM0058,2023-05-19,151612,3562,148,1492046,9841,419,0.0235
SPD00323,CAM0058,2023-04-19,83687,2418,69,2613310,31227,1081,0.0289
SPD00324,CAM0058,2023-05-09,52021,899,17,1201219,23091,1336,0.0173
SPD00325,CAM0058,2023-04-21,134250,4008,,3234658,24094,807,0.0299
SPD00326,CAM0058,2023-05-17,153261,2437,91,1203140,7850,494,0.0159
SPD00327,CAM0058,2023-05-03,139355,3250,,2377155,17058,731,0.0233
SPD00328,CAM0059,2022-07-24,157477,1017,45,1336634,8488,1314,0.0065
SPD00329,CAM0059,2022-08-05,47810,302,10,3186212,66643,10550,0.0063
SPD00330,CAM0059,2022-07-17,80984,995,13,1825836,22546,1835,0.0123
SPD00331,CAM0059,2022-09-01,169634,1625,,1602037,9444,986,0.0096
SPD00332,CAM0059,2022-08-17,89569,2401,89,2725577,30430,1135,0.0268
SPD00333,CAM0059,2022-07-31,184684,4146,130,3149680,17054,760,0.0224
SPD00334,CAM0060,2022-05-22,8381,70,2,3656060,436232,52229,0.0084
SPD00335,CAM0060,2022-05-28,47737,360,6,1780554,37299,4946,0.0075
SPD00336,CAM0060,2022-06-12,151448,3079,95,4663541,30793,1515,0.0203
SPD00337,CAM0061,2023-11-29,149470,3371,89,840892,5626,249,0.0226
SPD00338,CAM0061,2023-11-10,39401,1106,24,3241445,82268,2931,0.0281
SPD00339,CAM0061,2023-11-11,120851,3292,133,3069282,25397,932,0.0272
